address,desa,kecamatan,keyword,latitude,longitude,nama,url
"JQVW+F3J, Salu Dewata, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91754",Salu Dewata,Anggeraja,rumah sakit,-3.554935,119.7656784,Puskesmas Salu Dewata,"https://www.google.com/maps/place/Puskesmas+Salu+Dewata/@-3.554935,119.7656784,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d940dcabf2efea9:0xb452f18aa8452d08!8m2!3d-3.3562938!4d119.7951435!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11n5xb4y3n?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"Jl. Penghibur No. 3, Baraka Kab, Baraka, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan 91752",Baraka,Baraka,rumah sakit,-3.3561858,119.7451892,Klinik Pratama Marsya Baraka,"https://www.google.com/maps/place/Klinik+Pratama+Marsya+Baraka/@-3.3561858,119.7451892,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d9413a362430e57:0x10478893796ca9dd!8m2!3d-3.409384!4d119.856552!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ1o0IjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYmFyYWthIGthYnVwYXRlbiBlbnJla2FuZ5IBDm1lZGljYWxfb2ZmaWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJpTlU5eVdsQkJFQUWqAXcKCC9tLzBocG5yEAEqDyILcnVtYWggc2FraXQoJjIgEAEiHGsr6EBmCeR7jRB577P40gkbZBPPYCrxqsCyyLYyNhACIjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYmFyYWthIGthYnVwYXRlbiBlbnJla2FuZ-ABAPoBBAgAEEE!16s%2Fg%2F11fwh0nb4v?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"Kel, Balla, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan",Balla,Baraka,rumah sakit,-3.3561858,119.7451892,Pustu Kelurahan Balla,"https://www.google.com/maps/place/Pustu+Kelurahan+Balla/@-3.3561858,119.7451892,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d9413003eca25a9:0xb2adb544946cc456!8m2!3d-3.4087171!4d119.8364215!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11vplf0hpn?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"HRXX+JV4, Baraka, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan 91752",Baraka,Baraka,rumah sakit,-3.5681457,119.6989003,TPU Kajucolo,"https://www.google.com/maps/place/TPU+Kajucolo/@-3.5681457,119.6989003,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d941360ba109c5d:0x2ebb9a0d3a3d6a03!8m2!3d-3.4009783!4d119.8496929!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11h0362pms?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"HVR5+G3G, Baraka, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan 91752",Baraka,Baraka,rumah sakit,-3.4009783,119.7734752,PUSKESMAS Baraka,"https://www.google.com/maps/place/PUSKESMAS+Baraka/@-3.4009783,119.7734752,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d94124062380e2d:0x87c999c71c210336!8m2!3d-3.4086757!4d119.8577159!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ1o0IjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYmFyYWthIGthYnVwYXRlbiBlbnJla2FuZ5IBFXB1YmxpY19tZWRpY2FsX2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONGNqUkhZME5SRUFFqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQD6AQQIABAx!16s%2Fg%2F11ckg7n1gf?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"HVQP+WMW, Bontongan, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan 91753",Bontongan,Baraka,rumah sakit,-3.4009783,119.7734752,Pustu Desa Bontongan,"https://www.google.com/maps/place/Pustu+Desa+Bontongan/@-3.4009783,119.7734752,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d94112fa618ec75:0x368d84c132e0c887!8m2!3d-3.4101452!4d119.8866994!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11flbs4dd4?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"HR7V+C2W, Unnamed Road, Tangru, Malua, Balla, Kec. Baraka, Kabupaten Enrekang, Sulawesi Selatan 91753",Balla,Baraka,rumah sakit,-3.4009783,119.7734752,Polindes Tangru,"https://www.google.com/maps/place/Polindes+Tangru/@-3.4009783,119.7734752,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d9413a4497f28db:0x6294823ea98e5219!8m2!3d-3.4363879!4d119.842588!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11g7nvf0kp?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"JL. Perintis Kemerdekaan No.4A, Karueng, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711",Karueng,Enrekang,rumah sakit,-3.5677104,119.6988179,Puskesmas Baraka,"https://www.google.com/maps/place/Puskesmas+Baraka/@-3.5677104,119.6988179,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d94405c61d7f1f3:0x14a9413b5d19398!8m2!3d-3.563128!4d119.7612!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBF2NvbW11bml0eV9oZWFsdGhfY2VudGVyqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F1pzx8t2jr?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"FWRP+WJF, Ledan, Kec. Buntu Batu, Kabupaten Enrekang, Sulawesi Selatan",Ledan,Buntu Batu,rumah sakit,-3.4100329,119.7243253,Pustu Ledan,"https://www.google.com/maps/place/Pustu+Ledan/@-3.4100329,119.7243253,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d9417002992f1eb:0x710d37b913a4226c!8m2!3d-3.5074418!4d119.9367608!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11lcv0blbz?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"FR7G+67R, Unnamed Road, Kaluppini, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711",Kaluppini,Enrekang,rumah sakit,-3.5074418,119.8605431,Puskesmas kaluppini,"https://www.google.com/maps/place/Puskesmas+kaluppini/@-3.5074418,119.8605431,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Baraka+Kabupaten+Enrekang!3m6!1s0x2d943f17eba59157:0xd8c851ccd0391478!8m2!3d-3.5368869!4d119.8256524!15sCjJydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQmFyYWthIEthYnVwYXRlbiBFbnJla2FuZ5IBDm1lZGljYWxfY2VudGVyqgF3CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyIBABIhxrK-hAZgnke40Qee-z-NIJG2QTz2Aq8arAssi2MjYQAiIycnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGJhcmFrYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQA!16s%2Fg%2F11h53fbd8f?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
